date,site,province,district,predicted_total_visitors,statistical_capacity,vli_score
2027-02-05,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,291,192,151.56
2027-02-05,Temple of the Tooth (Kandy),Central,Kandy,3267,1398,233.69
2027-02-05,Udawalawe National Park,Uva,Monaragala,286,854,33.49
2027-02-05,Wilpattu National Park,North_Western,Puttalam,283,750,37.73
2027-02-05,Yala National Park,Southern,Hambantota,1601,2133,75.06
2027-02-06,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-06,Dambulla Cave Temple,Central,Matale,582,586,99.32
2027-02-06,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-06,Horton Plains (World's End),Central,Nuwara Eliya,652,270,241.48
2027-02-06,Jaffna Fort,Northern,Jaffna,380,867,43.83
2027-02-06,Kaudulla National Park,North_Central,Polonnaruwa,231,622,37.14
2027-02-06,Knuckles Conservation Forest,Central,Matale,375,846,44.33
2027-02-06,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-06,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,492,434,113.36
2027-02-06,Sigiriya Rock & Museum,Central,Matale,748,2161,34.61
2027-02-06,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,364,192,189.58
2027-02-06,Temple of the Tooth (Kandy),Central,Kandy,3342,1398,239.06
2027-02-06,Udawalawe National Park,Uva,Monaragala,359,854,42.04
2027-02-06,Wilpattu National Park,North_Western,Puttalam,357,750,47.6
2027-02-06,Yala National Park,Southern,Hambantota,1744,2133,81.76
2027-02-07,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-07,Dambulla Cave Temple,Central,Matale,586,586,100.0
2027-02-07,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-07,Horton Plains (World's End),Central,Nuwara Eliya,652,270,241.48
2027-02-07,Jaffna Fort,Northern,Jaffna,384,867,44.29
2027-02-07,Kaudulla National Park,North_Central,Polonnaruwa,226,622,36.33
2027-02-07,Knuckles Conservation Forest,Central,Matale,378,846,44.68
2027-02-07,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-07,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,496,434,114.29
2027-02-07,Sigiriya Rock & Museum,Central,Matale,752,2161,34.8
2027-02-07,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,368,192,191.67
2027-02-07,Temple of the Tooth (Kandy),Central,Kandy,3347,1398,239.41
2027-02-07,Udawalawe National Park,Uva,Monaragala,363,854,42.51
2027-02-07,Wilpattu National Park,North_Western,Puttalam,360,750,48.0
2027-02-07,Yala National Park,Southern,Hambantota,1794,2133,84.11
2027-02-08,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-08,Dambulla Cave Temple,Central,Matale,520,586,88.74
2027-02-08,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-08,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-08,Jaffna Fort,Northern,Jaffna,317,867,36.56
2027-02-08,Kaudulla National Park,North_Central,Polonnaruwa,181,622,29.1
2027-02-08,Knuckles Conservation Forest,Central,Matale,312,846,36.88
2027-02-08,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-08,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,429,434,98.85
2027-02-08,Sigiriya Rock & Museum,Central,Matale,686,2161,31.74
2027-02-08,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,301,192,156.77
2027-02-08,Temple of the Tooth (Kandy),Central,Kandy,3283,1398,234.84
2027-02-08,Udawalawe National Park,Uva,Monaragala,296,854,34.66
2027-02-08,Wilpattu National Park,North_Western,Puttalam,293,750,39.07
2027-02-08,Yala National Park,Southern,Hambantota,1750,2133,82.04
2027-02-09,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-09,Dambulla Cave Temple,Central,Matale,521,586,88.91
2027-02-09,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-09,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-09,Jaffna Fort,Northern,Jaffna,318,867,36.68
2027-02-09,Kaudulla National Park,North_Central,Polonnaruwa,176,622,28.3
2027-02-09,Knuckles Conservation Forest,Central,Matale,313,846,37.0
2027-02-09,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-09,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,431,434,99.31
2027-02-09,Sigiriya Rock & Museum,Central,Matale,688,2161,31.84
2027-02-09,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,303,192,157.81
2027-02-09,Temple of the Tooth (Kandy),Central,Kandy,3287,1398,235.12
2027-02-09,Udawalawe National Park,Uva,Monaragala,297,854,34.78
2027-02-09,Wilpattu National Park,North_Western,Puttalam,295,750,39.33
2027-02-09,Yala National Park,Southern,Hambantota,1799,2133,84.34
2027-02-10,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-10,Dambulla Cave Temple,Central,Matale,522,586,89.08
2027-02-10,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-10,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-10,Jaffna Fort,Northern,Jaffna,319,867,36.79
2027-02-10,Kaudulla National Park,North_Central,Polonnaruwa,171,622,27.49
2027-02-10,Knuckles Conservation Forest,Central,Matale,314,846,37.12
2027-02-10,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-10,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,432,434,99.54
2027-02-10,Sigiriya Rock & Museum,Central,Matale,689,2161,31.88
2027-02-10,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,303,192,157.81
2027-02-10,Temple of the Tooth (Kandy),Central,Kandy,3290,1398,235.34
2027-02-10,Udawalawe National Park,Uva,Monaragala,298,854,34.89
2027-02-10,Wilpattu National Park,North_Western,Puttalam,295,750,39.33
2027-02-10,Yala National Park,Southern,Hambantota,1848,2133,86.64
2027-02-11,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-11,Dambulla Cave Temple,Central,Matale,525,586,89.59
2027-02-11,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-11,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-11,Jaffna Fort,Northern,Jaffna,322,867,37.14
2027-02-11,Kaudulla National Park,North_Central,Polonnaruwa,166,622,26.69
2027-02-11,Knuckles Conservation Forest,Central,Matale,316,846,37.35
2027-02-11,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-11,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,434,434,100.0
2027-02-11,Sigiriya Rock & Museum,Central,Matale,692,2161,32.02
2027-02-11,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,306,192,159.38
2027-02-11,Temple of the Tooth (Kandy),Central,Kandy,3294,1398,235.62
2027-02-11,Udawalawe National Park,Uva,Monaragala,300,854,35.13
2027-02-11,Wilpattu National Park,North_Western,Puttalam,298,750,39.73
2027-02-11,Yala National Park,Southern,Hambantota,1902,2133,89.17
2027-02-12,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-12,Dambulla Cave Temple,Central,Matale,528,586,90.1
2027-02-12,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-12,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-12,Jaffna Fort,Northern,Jaffna,324,867,37.37
2027-02-12,Kaudulla National Park,North_Central,Polonnaruwa,162,622,26.05
2027-02-12,Knuckles Conservation Forest,Central,Matale,319,846,37.71
2027-02-12,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-12,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,437,434,100.69
2027-02-12,Sigiriya Rock & Museum,Central,Matale,695,2161,32.16
2027-02-12,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,308,192,160.42
2027-02-12,Temple of the Tooth (Kandy),Central,Kandy,3298,1398,235.91
2027-02-12,Udawalawe National Park,Uva,Monaragala,303,854,35.48
2027-02-12,Wilpattu National Park,North_Western,Puttalam,300,750,40.0
2027-02-12,Yala National Park,Southern,Hambantota,1957,2133,91.75
2027-02-13,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-13,Dambulla Cave Temple,Central,Matale,601,586,102.56
2027-02-13,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-13,Horton Plains (World's End),Central,Nuwara Eliya,652,270,241.48
2027-02-13,Jaffna Fort,Northern,Jaffna,397,867,45.79
2027-02-13,Kaudulla National Park,North_Central,Polonnaruwa,199,622,31.99
2027-02-13,Knuckles Conservation Forest,Central,Matale,392,846,46.34
2027-02-13,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-13,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,510,434,117.51
2027-02-13,Sigiriya Rock & Museum,Central,Matale,769,2161,35.59
2027-02-13,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,381,192,198.44
2027-02-13,Temple of the Tooth (Kandy),Central,Kandy,3358,1398,240.2
2027-02-13,Udawalawe National Park,Uva,Monaragala,376,854,44.03
2027-02-13,Wilpattu National Park,North_Western,Puttalam,373,750,49.73
2027-02-13,Yala National Park,Southern,Hambantota,2111,2133,98.97
2027-02-14,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-14,Dambulla Cave Temple,Central,Matale,605,586,103.24
2027-02-14,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-14,Horton Plains (World's End),Central,Nuwara Eliya,652,270,241.48
2027-02-14,Jaffna Fort,Northern,Jaffna,401,867,46.25
2027-02-14,Kaudulla National Park,North_Central,Polonnaruwa,196,622,31.51
2027-02-14,Knuckles Conservation Forest,Central,Matale,395,846,46.69
2027-02-14,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-14,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,514,434,118.43
2027-02-14,Sigiriya Rock & Museum,Central,Matale,772,2161,35.72
2027-02-14,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,385,192,200.52
2027-02-14,Temple of the Tooth (Kandy),Central,Kandy,3358,1398,240.2
2027-02-14,Udawalawe National Park,Uva,Monaragala,379,854,44.38
2027-02-14,Wilpattu National Park,North_Western,Puttalam,377,750,50.27
2027-02-14,Yala National Park,Southern,Hambantota,2170,2133,101.73
2027-02-15,Adam's Peak (Sri Pada),Central,Nuwara Eliya,826,341,242.23
2027-02-15,Dambulla Cave Temple,Central,Matale,800,586,136.52
2027-02-15,Galle Fort,Southern,Galle,2161,897,240.91
2027-02-15,Horton Plains (World's End),Central,Nuwara Eliya,654,270,242.22
2027-02-15,Jaffna Fort,Northern,Jaffna,497,867,57.32
2027-02-15,Kaudulla National Park,North_Central,Polonnaruwa,222,622,35.69
2027-02-15,Knuckles Conservation Forest,Central,Matale,489,846,57.8
2027-02-15,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-15,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,665,434,153.23
2027-02-15,Sigiriya Rock & Museum,Central,Matale,1049,2161,48.54
2027-02-15,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,463,192,241.15
2027-02-15,Temple of the Tooth (Kandy),Central,Kandy,3363,1398,240.56
2027-02-15,Udawalawe National Park,Uva,Monaragala,465,854,54.45
2027-02-15,Wilpattu National Park,North_Western,Puttalam,461,750,61.47
2027-02-15,Yala National Park,Southern,Hambantota,3185,2133,149.32
2027-02-16,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-16,Dambulla Cave Temple,Central,Matale,548,586,93.52
2027-02-16,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-16,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-16,Jaffna Fort,Northern,Jaffna,340,867,39.22
2027-02-16,Kaudulla National Park,North_Central,Polonnaruwa,145,622,23.31
2027-02-16,Knuckles Conservation Forest,Central,Matale,335,846,39.6
2027-02-16,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-16,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,455,434,104.84
2027-02-16,Sigiriya Rock & Museum,Central,Matale,718,2161,33.23
2027-02-16,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,324,192,168.75
2027-02-16,Temple of the Tooth (Kandy),Central,Kandy,3309,1398,236.7
2027-02-16,Udawalawe National Park,Uva,Monaragala,319,854,37.35
2027-02-16,Wilpattu National Park,North_Western,Puttalam,316,750,42.13
2027-02-16,Yala National Park,Southern,Hambantota,2251,2133,105.53
2027-02-17,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-17,Dambulla Cave Temple,Central,Matale,551,586,94.03
2027-02-17,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-17,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-17,Jaffna Fort,Northern,Jaffna,343,867,39.56
2027-02-17,Kaudulla National Park,North_Central,Polonnaruwa,141,622,22.67
2027-02-17,Knuckles Conservation Forest,Central,Matale,337,846,39.83
2027-02-17,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-17,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,458,434,105.53
2027-02-17,Sigiriya Rock & Museum,Central,Matale,722,2161,33.41
2027-02-17,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,326,192,169.79
2027-02-17,Temple of the Tooth (Kandy),Central,Kandy,3310,1398,236.77
2027-02-17,Udawalawe National Park,Uva,Monaragala,321,854,37.59
2027-02-17,Wilpattu National Park,North_Western,Puttalam,318,750,42.4
2027-02-17,Yala National Park,Southern,Hambantota,2327,2133,109.1
2027-02-18,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-18,Dambulla Cave Temple,Central,Matale,555,586,94.71
2027-02-18,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-18,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-18,Jaffna Fort,Northern,Jaffna,346,867,39.91
2027-02-18,Kaudulla National Park,North_Central,Polonnaruwa,137,622,22.03
2027-02-18,Knuckles Conservation Forest,Central,Matale,340,846,40.19
2027-02-18,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-18,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,461,434,106.22
2027-02-18,Sigiriya Rock & Museum,Central,Matale,726,2161,33.6
2027-02-18,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,328,192,170.83
2027-02-18,Temple of the Tooth (Kandy),Central,Kandy,3313,1398,236.98
2027-02-18,Udawalawe National Park,Uva,Monaragala,324,854,37.94
2027-02-18,Wilpattu National Park,North_Western,Puttalam,321,750,42.8
2027-02-18,Yala National Park,Southern,Hambantota,2396,2133,112.33
2027-02-19,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-19,Dambulla Cave Temple,Central,Matale,558,586,95.22
2027-02-19,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-19,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-19,Jaffna Fort,Northern,Jaffna,348,867,40.14
2027-02-19,Kaudulla National Park,North_Central,Polonnaruwa,134,622,21.54
2027-02-19,Knuckles Conservation Forest,Central,Matale,343,846,40.54
2027-02-19,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-19,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,464,434,106.91
2027-02-19,Sigiriya Rock & Museum,Central,Matale,729,2161,33.73
2027-02-19,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,331,192,172.4
2027-02-19,Temple of the Tooth (Kandy),Central,Kandy,3314,1398,237.05
2027-02-19,Udawalawe National Park,Uva,Monaragala,326,854,38.17
2027-02-19,Wilpattu National Park,North_Western,Puttalam,323,750,43.07
2027-02-19,Yala National Park,Southern,Hambantota,2467,2133,115.66
2027-02-20,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-20,Dambulla Cave Temple,Central,Matale,632,586,107.85
2027-02-20,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-20,Horton Plains (World's End),Central,Nuwara Eliya,652,270,241.48
2027-02-20,Jaffna Fort,Northern,Jaffna,422,867,48.67
2027-02-20,Kaudulla National Park,North_Central,Polonnaruwa,172,622,27.65
2027-02-20,Knuckles Conservation Forest,Central,Matale,416,846,49.17
2027-02-20,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-20,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,538,434,123.96
2027-02-20,Sigiriya Rock & Museum,Central,Matale,803,2161,37.16
2027-02-20,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,405,192,210.94
2027-02-20,Temple of the Tooth (Kandy),Central,Kandy,3359,1398,240.27
2027-02-20,Udawalawe National Park,Uva,Monaragala,400,854,46.84
2027-02-20,Wilpattu National Park,North_Western,Puttalam,397,750,52.93
2027-02-20,Yala National Park,Southern,Hambantota,2638,2133,123.68
2027-02-21,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-21,Dambulla Cave Temple,Central,Matale,636,586,108.53
2027-02-21,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-21,Horton Plains (World's End),Central,Nuwara Eliya,652,270,241.48
2027-02-21,Jaffna Fort,Northern,Jaffna,426,867,49.13
2027-02-21,Kaudulla National Park,North_Central,Polonnaruwa,169,622,27.17
2027-02-21,Knuckles Conservation Forest,Central,Matale,420,846,49.65
2027-02-21,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-21,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,542,434,124.88
2027-02-21,Sigiriya Rock & Museum,Central,Matale,808,2161,37.39
2027-02-21,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,408,192,212.5
2027-02-21,Temple of the Tooth (Kandy),Central,Kandy,3359,1398,240.27
2027-02-21,Udawalawe National Park,Uva,Monaragala,404,854,47.31
2027-02-21,Wilpattu National Park,North_Western,Puttalam,401,750,53.47
2027-02-21,Yala National Park,Southern,Hambantota,2715,2133,127.29
2027-02-22,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-22,Dambulla Cave Temple,Central,Matale,580,586,98.98
2027-02-22,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-22,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-22,Jaffna Fort,Northern,Jaffna,365,867,42.1
2027-02-22,Kaudulla National Park,North_Central,Polonnaruwa,125,622,20.1
2027-02-22,Knuckles Conservation Forest,Central,Matale,360,846,42.55
2027-02-22,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-22,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,484,434,111.52
2027-02-22,Sigiriya Rock & Museum,Central,Matale,755,2161,34.94
2027-02-22,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,347,192,180.73
2027-02-22,Temple of the Tooth (Kandy),Central,Kandy,3323,1398,237.7
2027-02-22,Udawalawe National Park,Uva,Monaragala,343,854,40.16
2027-02-22,Wilpattu National Park,North_Western,Puttalam,340,750,45.33
2027-02-22,Yala National Park,Southern,Hambantota,2752,2133,129.02
2027-02-23,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-23,Dambulla Cave Temple,Central,Matale,564,586,96.25
2027-02-23,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-23,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-23,Jaffna Fort,Northern,Jaffna,356,867,41.06
2027-02-23,Kaudulla National Park,North_Central,Polonnaruwa,119,622,19.13
2027-02-23,Knuckles Conservation Forest,Central,Matale,351,846,41.49
2027-02-23,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-23,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,471,434,108.53
2027-02-23,Sigiriya Rock & Museum,Central,Matale,734,2161,33.97
2027-02-23,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,339,192,176.56
2027-02-23,Temple of the Tooth (Kandy),Central,Kandy,3319,1398,237.41
2027-02-23,Udawalawe National Park,Uva,Monaragala,334,854,39.11
2027-02-23,Wilpattu National Park,North_Western,Puttalam,331,750,44.13
2027-02-23,Yala National Park,Southern,Hambantota,2737,2133,128.32
2027-02-24,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-24,Dambulla Cave Temple,Central,Matale,566,586,96.59
2027-02-24,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-24,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-24,Jaffna Fort,Northern,Jaffna,357,867,41.18
2027-02-24,Kaudulla National Park,North_Central,Polonnaruwa,115,622,18.49
2027-02-24,Knuckles Conservation Forest,Central,Matale,352,846,41.61
2027-02-24,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-24,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,472,434,108.76
2027-02-24,Sigiriya Rock & Museum,Central,Matale,736,2161,34.06
2027-02-24,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,340,192,177.08
2027-02-24,Temple of the Tooth (Kandy),Central,Kandy,3320,1398,237.48
2027-02-24,Udawalawe National Park,Uva,Monaragala,335,854,39.23
2027-02-24,Wilpattu National Park,North_Western,Puttalam,332,750,44.27
2027-02-24,Yala National Park,Southern,Hambantota,2813,2133,131.88
2027-02-25,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-25,Dambulla Cave Temple,Central,Matale,568,586,96.93
2027-02-25,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-25,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-25,Jaffna Fort,Northern,Jaffna,359,867,41.41
2027-02-25,Kaudulla National Park,North_Central,Polonnaruwa,112,622,18.01
2027-02-25,Knuckles Conservation Forest,Central,Matale,354,846,41.84
2027-02-25,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-25,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,475,434,109.45
2027-02-25,Sigiriya Rock & Museum,Central,Matale,739,2161,34.2
2027-02-25,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,342,192,178.12
2027-02-25,Temple of the Tooth (Kandy),Central,Kandy,3322,1398,237.63
2027-02-25,Udawalawe National Park,Uva,Monaragala,337,854,39.46
2027-02-25,Wilpattu National Park,North_Western,Puttalam,334,750,44.53
2027-02-25,Yala National Park,Southern,Hambantota,2892,2133,135.58
2027-02-26,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-26,Dambulla Cave Temple,Central,Matale,571,586,97.44
2027-02-26,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-26,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-02-26,Jaffna Fort,Northern,Jaffna,362,867,41.75
2027-02-26,Kaudulla National Park,North_Central,Polonnaruwa,109,622,17.52
2027-02-26,Knuckles Conservation Forest,Central,Matale,356,846,42.08
2027-02-26,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-02-26,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,477,434,109.91
2027-02-26,Sigiriya Rock & Museum,Central,Matale,741,2161,34.29
2027-02-26,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,345,192,179.69
2027-02-26,Temple of the Tooth (Kandy),Central,Kandy,3323,1398,237.7
2027-02-26,Udawalawe National Park,Uva,Monaragala,340,854,39.81
2027-02-26,Wilpattu National Park,North_Western,Puttalam,337,750,44.93
2027-02-26,Yala National Park,Southern,Hambantota,2973,2133,139.38
2027-02-27,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-27,Dambulla Cave Temple,Central,Matale,644,586,109.9
2027-02-27,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-27,Horton Plains (World's End),Central,Nuwara Eliya,652,270,241.48
2027-02-27,Jaffna Fort,Northern,Jaffna,435,867,50.17
2027-02-27,Kaudulla National Park,North_Central,Polonnaruwa,148,622,23.79
2027-02-27,Knuckles Conservation Forest,Central,Matale,430,846,50.83
2027-02-27,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-27,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,551,434,126.96
2027-02-27,Sigiriya Rock & Museum,Central,Matale,815,2161,37.71
2027-02-27,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,418,192,217.71
2027-02-27,Temple of the Tooth (Kandy),Central,Kandy,3359,1398,240.27
2027-02-27,Udawalawe National Park,Uva,Monaragala,413,854,48.36
2027-02-27,Wilpattu National Park,North_Western,Puttalam,410,750,54.67
2027-02-27,Yala National Park,Southern,Hambantota,3153,2133,147.82
2027-02-28,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-02-28,Dambulla Cave Temple,Central,Matale,648,586,110.58
2027-02-28,Galle Fort,Southern,Galle,2160,897,240.8
2027-02-28,Horton Plains (World's End),Central,Nuwara Eliya,652,270,241.48
2027-02-28,Jaffna Fort,Northern,Jaffna,439,867,50.63
2027-02-28,Kaudulla National Park,North_Central,Polonnaruwa,145,622,23.31
2027-02-28,Knuckles Conservation Forest,Central,Matale,433,846,51.18
2027-02-28,Mirissa (Whale Watching),Southern,Matara,506,208,243.27
2027-02-28,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,554,434,127.65
2027-02-28,Sigiriya Rock & Museum,Central,Matale,819,2161,37.9
2027-02-28,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,421,192,219.27
2027-02-28,Temple of the Tooth (Kandy),Central,Kandy,3359,1398,240.27
2027-02-28,Udawalawe National Park,Uva,Monaragala,416,854,48.71
2027-02-28,Wilpattu National Park,North_Western,Puttalam,413,750,55.07
2027-02-28,Yala National Park,Southern,Hambantota,3241,2133,151.95
2027-03-01,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
2027-03-01,Dambulla Cave Temple,Central,Matale,582,586,99.32
2027-03-01,Galle Fort,Southern,Galle,2160,897,240.8
2027-03-01,Horton Plains (World's End),Central,Nuwara Eliya,650,270,240.74
2027-03-01,Jaffna Fort,Northern,Jaffna,372,867,42.91
2027-03-01,Kaudulla National Park,North_Central,Polonnaruwa,101,622,16.24
2027-03-01,Knuckles Conservation Forest,Central,Matale,366,846,43.26
2027-03-01,Mirissa (Whale Watching),Southern,Matara,505,208,242.79
2027-03-01,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,488,434,112.44
2027-03-01,Sigiriya Rock & Museum,Central,Matale,753,2161,34.84
2027-03-01,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,355,192,184.9
2027-03-01,Temple of the Tooth (Kandy),Central,Kandy,3331,1398,238.27
2027-03-01,Udawalawe National Park,Uva,Monaragala,350,854,40.98
2027-03-01,Wilpattu National Park,North_Western,Puttalam,347,750,46.27
2027-03-01,Yala National Park,Southern,Hambantota,2398,2133,112.42
2027-03-02,Adam's Peak (Sri Pada),Central,Nuwara Eliya,825,341,241.94
